# Hyperreal Slow Performer History

Generated by `cargo bench --bench adversarial_library`. Timings are best-of-five wall-clock probes for deterministic adversarial cases, intended to identify edges for promotion into focused Criterion rows.

Latest run sampled 20000 deterministic cases. The table below intentionally merges the latest run with previous crate-local history by `family + operation + input`, updates each case to its worst observed time, and keeps only the 1000 worst cases. This report is a worst-ever edge finder, not a current-run leaderboard.

## Worst Performers

| Rank | Worst Time | Family | Operation | Input |
| 83 | 19.459 us | `computable` | `generated_atan_p96` | `generated[10869] 1 123/155` |
| 84 | 19.459 us | `computable` | `generated_tan_p96` | `generated[16806] 5 3/22` |
| 85 | 19.459 us | `real` | `generated_ln_abs_plus_one_build` | `generated[13334] 2 289/290` |
| 86 | 19.458 us | `real` | `generated_ln_abs_plus_one_build` | `generated[8054] -1 25/84` |
| 87 | 19.439 us | `real` | `generated_ln_abs_plus_one_build` | `generated[8369] 1 7/236` |
| 88 | 19.378 us | `computable` | `generated_sin_p96` | `generated[13744] 4 47/90` |
| 89 | 19.358 us | `computable` | `generated_sin_p96` | `generated[15079] 4 58/65` |
| 90 | 19.319 us | `computable` | `generated_atan_p96` | `generated[15369] -1 74/93` |
| 91 | 19.299 us | `real` | `generated_ln_abs_plus_one_build` | `generated[2294] 2 85/94` |
| 92 | 19.249 us | `real` | `generated_ln_abs_plus_one_build` | `generated[5489] -2 5/6` |
| 93 | 19.239 us | `computable` | `generated_tan_p96` | `generated[11421] -4 55/57` |
| 94 | 19.219 us | `computable` | `generated_cos_p96` | `generated[9365] 7 14/139` |
| 95 | 19.209 us | `computable` | `generated_sin_p96` | `generated[9499] 4 35/88` |
| 96 | 19.209 us | `real` | `generated_ln_abs_plus_one_build` | `generated[7859] 1 27/44` |
| 97 | 19.199 us | `real` | `generated_ln_abs_plus_one_build` | `generated[17474] -9 48/79` |
| 98 | 19.178 us | `real` | `generated_ln_abs_plus_one_build` | `generated[11504] -3 49/246` |
| 99 | 19.098 us | `real` | `generated_ln_abs_plus_one_build` | `generated[9089] 2 257/286` |
| 100 | 19.098 us | `real` | `generated_ln_abs_plus_one_build` | `generated[9224] 1 269/420` |
| 101 | 19.059 us | `computable` | `generated_cos_p96` | `generated[15110] 7 5/27` |
| 102 | 19.059 us | `computable` | `generated_sin_p96` | `generated[8974] 4 19/49` |
| 103 | 19.019 us | `computable` | `generated_tan_p96` | `generated[15891] -5 23/33` |
| 104 | 18.989 us | `real` | `generated_ln_abs_plus_one_build` | `generated[12029] -1 119/324` |
| 105 | 18.978 us | `computable` | `generated_atan_p96` | `generated[5124] -1 237/523` |
| 106 | 18.899 us | `computable` | `generated_tan_p96` | `generated[9231] -7 5/6` |
| 107 | 18.889 us | `computable` | `generated_cos_p96` | `generated[16610] 7 4/19` |
| 108 | 18.859 us | `real` | `generated_ln_abs_plus_one_build` | `generated[15749] -2 247/250` |
| 109 | 18.789 us | `real` | `generated_ln_abs_plus_one_build` | `generated[14129] 1 99/212` |
| 110 | 18.739 us | `real` | `generated_ln_abs_plus_one_build` | `generated[5639] 1 225/628` |
| 111 | 18.719 us | `computable` | `generated_tan_p96` | `generated[3321] -4 17/107` |
| 112 | 18.629 us | `computable` | `generated_cos_p96` | `generated[14195] -4 10/59` |
| 113 | 18.609 us | `real` | `generated_ln_abs_plus_one_build` | `generated[7454] -2 157/214` |
| 114 | 18.559 us | `computable` | `generated_atan_p96` | `generated[15279] 1 403/522` |
| 115 | 18.549 us | `computable` | `generated_tan_p96` | `generated[9591] -3 125/127` |
| 116 | 18.538 us | `real` | `generated_ln_abs_plus_one_build` | `generated[16859] 1 79/244` |
| 117 | 18.479 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[15082] 1 181/356` |
